,job_name,company,country,location,min_salary,max_salary,description,posted_date,work_type,tags,score,matched,source
618,ML Ops Engineer,Circadia Health,UK,"Vauxhall, South West London",91918.32,91918.32,"Position Overview As an ML Ops Engineer at Circadia Health , you will own the infrastructure and operational lifecycle of the machine learning systems that power our clinical monitoring platform. You will build and maintain the production ML pipelines, deployment infrastructure, and monitoring systems that enable Circadia's predictive models to identify early signs of clinical deterioration. Reporting to the Principal ML Engineer, you will work across ML, backend, data, and clinical teams to en…",2026-02-25T15:06:57Z,unknown,it-jobs,2,"(('description', ('machine learning', 'ml engineer')),)",adzuna
619,Applied AI ML Engineer Director - NLP / LLM and Graphs,JPMorganChase,UK,"London, UK",87393.88,87393.88,"Description The Chief Data & Analytics Office (CDAO) at JPMorgan Chase is responsible for accelerating the firm’s data and analytics journey. This includes ensuring the quality, integrity, and security of the company's data, as well as leveraging this data to generate insights and drive decision-making. The CDAO is also responsible for developing and implementing solutions that support the firm’s commercial goals by harnessing artificial intelligence and machine learning technologies to develop…",2026-05-02T21:56:29Z,unknown,it-jobs,6,"(('description', ('machine learning',)), ('job_title', ('ml engineer',)))",adzuna
620,Applied AI ML Engineer Director - NLP/LLM & Graphs,JP Morgan Chase,UK,"London, UK",62000.0,102000.0,"Salary: £62,000 - 102,000 per year Requirements: We require a PhD in a quantitative discipline such as Computer Science, Electrical Engineering, Mathematics, Operations Research, Optimization, or Data Science, or an MS with significant industry or research experience in the field. We require a solid background in NLP, LLM, and graph analytics, with hands-on experience and a strong understanding of machine learning and deep learning methods. We require hands-on experience building agentic AI and…",2026-09-05T11:47:56Z,unknown,it-jobs,6,"(('description', ('machine learning',)), ('job_title', ('ml engineer',)))",adzuna
621,Software Engineering & ML/Data Engineer Senior Associate,State Street Bank,UK,"Poplar, East London",60000.0,90000.0,"Salary: £60,000 - 90,000 per year Requirements: Enthusiastic about building a long-term career in a dynamic, technology-driven organization Effective communicators with the ability to collaborate in a team-oriented environment Open to feedback and committed to continuous learning and improvement Motivated by real-world problem solving and eager to contribute innovative ideas Degree in Software Engineering, Application Development, Data Analytics, Artificial Intelligence, or related technical di…",2026-09-05T11:48:22Z,unknown,it-jobs,5,"(('job_title', ('data engineer',)),)",adzuna
622,"ML Research Engineer, London",Isomorphic Labs,UK,"London, UK",66148.34,66148.34,"Isomorphic Labs is applying frontier AI to help unlock deeper scientific insights, faster breakthroughs, and life-changing medicines with an ambition to solve all disease. The future is coming. A future enabled and enriched by the incredible power of machine learning. A future in which diseases are curtailed or cured starting with better and faster drug discovery. Come and be part of an interdisciplinary team driving groundbreaking innovation and play a meaningful role in contributing towards u…",2026-04-16T11:18:13Z,unknown,scientific-qa-jobs,1,"(('description', ('machine learning',)),)",adzuna
623,ML Engineer,Insight Global,Canada,"Toronto, Ontario",0.0,0.0,"Job Description Productionize the science Refactor experimental forecasting code into modular, tested, reproducible components with clear interfaces and versioned configuration. Establish the patterns others follow: repo structure, testing strategy, code review standards, dependency and environment management. Build and enhance ML pipelines Design, build, and harden training, backtesting, and inference pipelines in Azure ML. Build feature engineering and data preparation on Snowflake, with atte…",2026-08-30T03:06:10Z,unknown,it-jobs,5,"(('job_title', ('ml engineer',)),)",adzuna
624,ML Engineer,Tigera,Canada,"Vancouver, Greater Vancouver",160000.0,160000.0,"Tigera provides Calico, a unified network security and observability platform to prevent, detect and mitigate security breaches in Kubernetes clusters. Tigera’s open-source offering, Calico Open Source, is the most widely adopted container networking and security solution. Powering more than 100M containers across 8M nodes in 166 countries, Calico software is supported across all major cloud providers and Kubernetes distributions, and is used by leading companies including Discover, Chipotle, N…",2026-08-14T04:56:14Z,unknown,engineering-jobs,5,"(('job_title', ('ml engineer',)),)",adzuna
625,ML Engineer,CreatorIQ,Canada,"Toronto, Ontario",150000.0,188000.0,"CreatorIQ is the operating system for creator-led growth trusted by more than 1,300 global brands and agencies. We’re on a mission to make businesses more human, and humans more impactful. We operate by our values — be intentional, pursue excellence every day, embrace the journey together, and be a good human — every day. CreatorIQ has earned the title of best companies to work for in multiple programs, including BuiltIn LA and NY. It’s been named a Fastest-Growing Company in North America on t…",2026-07-20T17:57:37Z,unknown,it-jobs,5,"(('job_title', ('ml engineer',)),)",adzuna
626,AI / ML Engineer,E Source,Canada,Canada,0.0,0.0,"Job Description Job Description At E Source, we help utilities make sense of complexity in a rapidly changing landscape, and we’re looking for an AI / ML Engineer to help shape how that impact shows up in the world. E Source is a research, data/analytics, and technology focused professional services firm focused exclusively on the utility industry in the US and Canada. We help utilities target and serve their customers more effectively, enhance and optimize their grid, and leverage operating be…",2026-08-14T07:09:55Z,unknown,it-jobs,6,"(('description', ('ml engineer',)), ('job_title', ('ml engineer',)))",adzuna
627,Senior ML Engineer,hireVouch,Canada,Canada,0.0,0.0,"About this role As a Senior Machine Learning Engineer, you will lead efforts to build models and services that support our core timekeeping product. You’ll collaborate closely with cross-functional teams to design and deploy cutting-edge machine learning to support core product features. Beyond developing models, you’ll build and shape our engineering services that support training and deploying models. Core Duties Own business‑critical AI challenges. Partner with product, design, and engineers…",2026-07-18T17:53:37Z,unknown,it-jobs,6,"(('description', ('machine learning',)), ('job_title', ('ml engineer',)))",adzuna
628,AI/ML Engineer - Remote,YO AI Labs,Canada,"Vancouver, Greater Vancouver",416000.0,728000.0,"Job Description Job Description AI/ML Engineer Job Type: Full-Time Location: Remote Job Summary We are seeking an experienced AI/ML Engineer to build and deploy secure, scalable AI solutions for mission-critical initiatives while contributing to proprietary AI infrastructure. You will work with LLMs, RAG, prompt engineering, multi-agent systems, and cloud AI platforms to develop production-grade machine learning applications. Key Responsibilities Design, implement, and optimize AI/ML solutions …",2026-08-28T08:08:34Z,remote,it-jobs,7,"(('description', ('machine learning', 'ml engineer')), ('job_title', ('ml engineer',)))",adzuna
